DIB_CUST_ID,spend_1,spend_2,spend_3,spend_4,spend_5,spend_6,spend_7,visit_1,visit_2,visit_3,visit_4,visit_5,visit_6,visit_7,mean_s,mean_v,var_s,var_v,y
9.93E+14,16.46,49.11,17.07,13.73,4.7,4.96,10.32,16,25,9,9,5,5,8,16.62142857,11,230.3187143,51.66666667,1
9.93E+14,133.01,77.05,139.58,70.94,119.78,111.33,106.25,74,40,59,38,66,72,58,108.2771429,58.14285714,684.4207905,206.8095238,1
9.93E+14,95.16,30.68,117.86,99,70.95,163.27,162.24,55,9,38,43,31,76,61,105.5942857,44.71428571,2275.068062,476.9047619,1
9.93E+14,45.01,27.83,131.6,49.39,71.2,101.28,53.36,32,24,96,33,44,73,42,68.52428571,49.14285714,1310.610829,671.4761905,1
9.93E+14,0,74.87,92.48,92.49,59.2,141.19,146.89,0,31,36,43,24,51,40,86.73142857,32.14285714,2512.001781,275.1428571,1
9.93E+14,0,0,40.96,0.01,57.18,59.09,39.06,0,0,27,2,42,35,18,28.04285714,17.71428571,743.2954905,308.2380952,0
9.93E+14,31.06,27.98,43.93,43.93,65.11,45.42,69.41,21,23,31,27,38,17,41,46.69142857,28.28571429,244.4506476,78.9047619,1
9.93E+14,59.92,69.58,119.09,116.32,71.71,113.6,84.86,48,47,62,72,54,73,44,90.72571429,57.14285714,629.1617286,144.1428571,1
9.93E+14,30.05,34.14,23,48.42,62.78,38.85,52.89,23,14,12,19,17,15,18,41.44714286,16.85714286,194.1636571,13.14285714,1
9.93E+14,110.78,165.31,75.34,112.69,133.99,218.18,123.24,43,71,37,31,49,83,50,134.2185714,52,2102.718648,347,1
9.93E+14,0,0,0,0,0,42.05,236.24,0,0,0,0,0,10,65,39.75571429,10.71428571,7752.320395,586.9047619,1
9.93E+14,85.53,109.97,0,23.53,62.23,149.11,45.82,13,50,0,12,27,66,27,68.02714286,27.85714286,2629.07249,532.4761905,1
9.93E+14,21.11,4.75,0,0,0,8.49,7.44,27,4,0,0,0,4,11,5.97,6.571428571,57.69033333,96.61904762,1
9.93E+14,124.08,77.62,74.28,68.58,57.37,29.15,53.35,83,48,52,20,40,16,30,69.20428571,41.28571429,850.6792286,520.2380952,1
9.93E+14,0,0,0,0,0,0,83.13,0,0,0,0,0,0,56,11.87571429,8,987.2281286,448,0
9.93E+14,28.25,49.29,17.97,42.56,22.32,29.56,39.93,12,31,15,18,12,17,17,32.84,17.42857143,129.8271333,41.61904762,1
9.93E+14,28.96,2.94,3.38,6.42,8.8,12.18,17.19,16,3,3,4,7,7,12,11.41,7.428571429,84.98963333,24.28571429,0
9.93E+14,13.14,120.79,133.24,189.27,83.54,287.34,120.33,11,64,69,104,46,120,67,135.3785714,68.71428571,7344.987848,1291.238095,1
9.93E+14,47.24,21.03,48.85,63.42,105.36,40.47,23.61,51,21,46,56,73,26,16,49.99714286,41.28571429,813.3799905,437.2380952,1
9.93E+14,58.54,75.29,108.72,58.45,92.2,144.09,116.54,35,46,55,29,49,67,62,93.40428571,49,1017.628695,189,1
9.93E+14,22.22,42.55,15.17,25.41,16.81,0.35,72.54,9,27,13,13,8,2,32,27.86428571,14.85714286,548.3081952,115.8095238,1
9.93E+14,73.24,85.52,0,50.04,68.83,38.52,43.93,36,38,0,28,40,18,25,51.44,26.42857143,801.7431,197.2857143,1
9.93E+14,124.42,135.33,167.56,158.36,202.74,229.83,109.78,95,109,102,82,100,119,78,161.1457143,97.85714286,1858.364129,207.8095238,1
9.93E+14,122.22,106.67,149.44,163.28,28.31,308.09,22.82,52,54,63,65,13,94,16,128.69,51,9270.455533,811.3333333,1
9.93E+14,52.99,56.41,23.29,71.84,29.85,37.6,12.4,23,18,14,30,20,19,5,40.62571429,18.42857143,433.1399619,59.61904762,1
9.93E+14,2.34,4.02,0,0,5.41,9.94,0.97,3,4,0,0,5,6,2,3.24,2.857142857,12.8609,5.476190476,1
9.93E+14,27.54,71.11,64.46,71.31,59.81,49.95,71.69,28,55,49,49,46,43,40,59.41,44.28571429,260.0249,74.57142857,1
9.93E+14,111.9,85.85,137.5,100.2,94.66,174.29,175.02,90,68,101,64,67,121,105,125.6314286,88,1387.475281,494.6666667,1
9.93E+14,99.09,69.49,63.89,55.9,69.44,100.02,162.17,62,52,25,35,22,45,85,88.57142857,46.57142857,1344.194581,491.6190476,1
9.93E+14,22.09,48.41,48.23,85.49,150.41,142.75,54.72,22,40,36,48,74,82,38,78.87142857,48.57142857,2486.043748,468.952381,1
9.93E+14,33.55,29.45,37.18,43.13,29.26,14.59,74.13,15,9,11,12,13,8,33,37.32714286,14.42857143,341.0862905,72.61904762,1
9.93E+14,0,0,0,0,24.49,10.93,37.35,0,0,0,0,12,4,16,10.39571429,4.571428571,226.2918952,44.95238095,1
9.93E+14,3.68,2.48,5.08,2.87,7.56,16.61,16.43,4,3,5,4,9,6,12,7.815714286,6.142857143,38.1881619,10.47619048,1
9.93E+14,1.62,0,0,0.64,20.04,38.1,22.1,3,0,0,2,8,19,14,11.78571429,6.571428571,228.7223619,55.28571429,0
9.93E+14,0,0,0,0,0,0,96.91,0,0,0,0,0,0,56,13.84428571,8,1341.649729,448,1
